iter	Passed	Remaining
400	22982	34330
401	23036	34267
402	23088	34203
403	23142	34140
404	23196	34078
405	23257	34026
406	23318	33975
407	23374	33916
408	23433	33860
409	23486	33797
410	23540	33735
411	23595	33674
412	23648	33612
413	23702	33549
414	23755	33486
415	23806	33421
416	23860	33358
417	23913	33295
418	23966	33232
419	24019	33169
420	24073	33107
421	24126	33045
422	24178	32981
423	24231	32917
424	24286	32858
425	24338	32794
426	24392	32732
427	24446	32671
428	24500	32609
429	24552	32546
430	24607	32485
431	24660	32424
432	24714	32362
433	24767	32300
434	24820	32238
435	24872	32175
436	24928	32116
437	24980	32052
438	25034	31991
439	25087	31929
440	25141	31868
441	25195	31808
442	25249	31747
443	25304	31687
444	25357	31625
445	25411	31564
446	25464	31502
447	25517	31440
448	25570	31379
449	25622	31316
450	25676	31255
451	25730	31195
452	25783	31133
453	25837	31073
454	25890	31011
455	25943	30950
456	25996	30888
457	26049	30827
458	26103	30767
459	26157	30707
460	26211	30646
461	26265	30586
462	26319	30525
463	26377	30470
464	26430	30409
465	26485	30349
466	26539	30290
467	26592	30228
468	26644	30167
469	26697	30105
470	26750	30044
471	26803	29983
472	26856	29923
473	26910	29862
474	26964	29802
475	27018	29742
476	27071	29682
477	27124	29621
478	27178	29561
479	27230	29500
480	27286	29442
481	27340	29382
482	27392	29320
483	27446	29261
484	27500	29201
485	27553	29141
486	27608	29082
487	27661	29022
488	27715	28962
489	27767	28901
490	27821	28841
491	27873	28779
492	27928	28722
493	27982	28661
494	28035	28601
495	28089	28542
496	28143	28483
497	28196	28423
498	28249	28362
499	28302	28302
500	28356	28243
501	28411	28184
502	28465	28125
503	28520	28067
504	28574	28008
505	28627	27948
506	28681	27889
507	28734	27828
508	28786	27768
509	28841	27710
510	28895	27651
511	28948	27591
512	29002	27532
513	29057	27474
514	29109	27414
515	29162	27354
516	29215	27294
517	29268	27234
518	29323	27176
519	29376	27116
520	29429	27056
521	29482	26997
522	29536	26938
523	29590	26879
524	29644	26821
525	29697	26761
526	29750	26702
527	29804	26643
528	29857	26583
529	29909	26523
530	29962	26464
531	30016	26405
532	30070	26346
533	30123	26287
534	30176	26228
535	30230	26169
536	30286	26112
537	30340	26054
538	30392	25994
539	30447	25936
540	30500	25877
541	30555	25819
542	30607	25760
543	30660	25700
544	30712	25640
545	30765	25581
546	30818	25522
547	30870	25462
548	30924	25404
549	30978	25345
550	31032	25287
551	31085	25229
552	31139	25171
553	31192	25111
554	31245	25052
555	31299	24994
556	31359	24941
557	31423	24890
558	31481	24836
559	31537	24779
560	31590	24720
561	31643	24661
562	31697	24603
563	31750	24544
564	31804	24486
565	31857	24428
566	31911	24369
567	31964	24310
568	32017	24252
569	32070	24193
570	32124	24135
571	32178	24077
572	32233	24020
573	32286	23961
574	32340	23904
575	32394	23845
576	32448	23788
577	32502	23730
578	32555	23671
579	32609	23613
580	32662	23555
581	32715	23496
582	32768	23437
583	32821	23379
584	32874	23321
585	32928	23263
586	32981	23204
587	33035	23147
588	33090	23090
589	33143	23032
590	33197	22973
591	33250	22916
592	33304	22858
593	33358	22800
594	33412	22743
595	33466	22685
596	33520	22628
597	33574	22570
598	33628	22512
599	33682	22454
600	33736	22397
601	33790	22339
602	33844	22282
603	33897	22224
604	33949	22165
605	34003	22107
606	34057	22050
607	34110	21992
608	34163	21934
609	34219	21878
610	34273	21820
611	34326	21762
612	34379	21704
613	34433	21646
614	34487	21589
615	34541	21532
616	34594	21474
617	34647	21416
618	34700	21358
619	34753	21300
620	34808	21243
621	34862	21186
622	34914	21128
623	34968	21070
624	35024	21014
625	35077	20956
626	35130	20899
627	35183	20840
628	35237	20783
629	35291	20726
630	35345	20669
631	35397	20611
632	35450	20553
633	35504	20496
634	35559	20439
635	35611	20381
636	35664	20323
637	35718	20266
638	35773	20210
639	35828	20153
640	35880	20095
641	35933	20037
642	35986	19979
643	36039	19922
644	36092	19864
645	36147	19808
646	36200	19750
647	36254	19693
648	36307	19636
649	36361	19579
650	36416	19522
651	36470	19465
652	36522	19408
653	36576	19351
654	36630	19293
655	36684	19237
656	36739	19180
657	36792	19123
658	36846	19066
659	36899	19008
660	36953	18951
661	37007	18894
662	37059	18837
663	37113	18780
664	37166	18723
665	37220	18666
666	37273	18608
667	37328	18552
668	37381	18495
669	37435	18438
670	37489	18381
671	37542	18324
672	37596	18267
673	37650	18210
674	37702	18153
675	37755	18095
676	37809	18039
677	37863	17982
678	37916	17925
679	37970	17868
680	38024	17811
681	38076	17754
682	38129	17696
683	38181	17639
684	38235	17582
685	38290	17526
686	38344	17469
