,mae,rmse,r2
lightgbm_iter500_depth10,9242.282841256754,77990.94381657394,0.43391829579640406
lightgbm_iter300_depth8,9467.254267948823,78733.75299669684,0.4230838807804689
lightgbm_iter200_depth6,9705.76250307283,79832.8215208959,0.4068647647258208
ridge,14194.664564196559,101251.72453116777,0.045896202508405315
